url,description,filename,ed2k,magnet,pan,
http://diaodiaode.me/rss/feed/0,['[电视剧]新百战天龙MacGyver'],['新百战天龙.MacGyver.S02E09.中英字幕.HDTVrip.720P-人人影视.mp4'],['ed2k://|file|新百战天龙.MacGyver.S02E09.中英字幕.HDTVrip.720P-人人影视.mp4|524100161|f6e649e8befc41b53c6ca256affdd32e|h=la5db4bb2lhb24ntsxzgp6lhqdoselec|/'],['magnet:?xt=urn:btih:6f650dfc62d4a78d339356c4ad982eb2406126f4&tr=udp://9.rarbg.to:2710/announce&tr=udp://9.rarbg.me:2710/announce&tr=http://tr.cili001.com:8070/announce&tr=http://tracker.trackerfix.com:80/announce&tr=udp://open.demonii.com:1337&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://p4p.arenabg.com:1337&tr=wss://tracker.openwebtorrent.com&tr=wss://tracker.btorrent.xyz&tr=wss://tracker.fastcast.nz'],['http://pan.baidu.com/s/1nuNN8Q9'],
http://diaodiaode.me/rss/feed/0,['[电视剧]少女卧底K.C. Undercover'],['少女卧底.K.C.Undercover.S03E09.WEB-HR.720P.Chs.Eng-Deefun迪幻字幕组.mp4'],['ed2k://|file|少女卧底.K.C.Undercover.S03E09.WEB-HR.720P.Chs.Eng-Deefun迪幻字幕组.mp4|318084530|929b7f9af774303996091aa1e0e559d1|h=qs27bc6fckkytdjvxijamlpuq3b2gvhc|/'],['magnet:?xt=urn:btih:f9380e9166a3a831cf13a521db90ecf70001c77c&tr=udp://9.rarbg.to:2710/announce&tr=udp://9.rarbg.me:2710/announce&tr=http://tr.cili001.com:8070/announce&tr=http://tracker.trackerfix.com:80/announce&tr=udp://open.demonii.com:1337&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://p4p.arenabg.com:1337&tr=wss://tracker.openwebtorrent.com&tr=wss://tracker.btorrent.xyz&tr=wss://tracker.fastcast.nz'],[],
http://diaodiaode.me/rss/feed/0,["[电视剧]神盾局特工Marvel's Agents of S.H.I.E.L.D."],['神盾局特工.Marvels.Agents.of.S.H.I.E.L.D.S05E01-E02.中英字幕.HDTVrip.720P-人人影视.mp4'],['ed2k://|file|神盾局特工.Marvels.Agents.of.S.H.I.E.L.D.S05E01-E02.中英字幕.HDTVrip.720P-人人影视.mp4|1018935605|0ac0b441eff0fdf1784edc512b1a9ce4|h=c2lmtybi4o7gxjhahcu2673rda5hlwf5|/'],['magnet:?xt=urn:btih:fe3d86be4a5572fc5dcb03ca244ddd64e485bd7e&tr=udp://9.rarbg.to:2710/announce&tr=udp://9.rarbg.me:2710/announce&tr=http://tr.cili001.com:8070/announce&tr=http://tracker.trackerfix.com:80/announce&tr=udp://open.demonii.com:1337&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://p4p.arenabg.com:1337&tr=wss://tracker.openwebtorrent.com&tr=wss://tracker.btorrent.xyz&tr=wss://tracker.fastcast.nz'],['https://pan.baidu.com/s/1c1026U8'],
http://diaodiaode.me/rss/feed/0,['[电视剧]流言终结者MythBusters'],['mythbusters.s20e03.earthquake.water.heater.hdtv.x264-w4f.mkv'],['ed2k://|file|mythbusters.s20e03.earthquake.water.heater.hdtv.x264-w4f.mkv|354758726|093F3F474973BB6BB3EDE2D709680E49|h=INR5VJEFODFSBS656UJTHZU6WGFF5DJX|/'],['magnet:?xt=urn:btih:99975effd26efc40082ff3900f8231935c1088cb&dn=MythBusters.S20E03.Earthquake.Water.Heater.HDTV.x264-W4F%5Brartv%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710'],[],
http://diaodiaode.me/rss/feed/0,['[电视剧]流言终结者MythBusters'],['mythbusters.s20e03.earthquake.water.heater.720p.hdtv.x264-w4f.mkv'],['ed2k://|file|mythbusters.s20e03.earthquake.water.heater.720p.hdtv.x264-w4f.mkv|1080898802|DDC2B2E20668CE1962DFCDD82216E119|h=ITAM3XD764W3ZJ2AHUYAA7LIOEPLAL6F|/'],['magnet:?xt=urn:btih:dcb7a0de73c3bac17747a6e6df0a7a069baa685c&dn=MythBusters.S20E03.Earthquake.Water.Heater.720p.HDTV.x264-W4F%5Brartv%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710'],[],
http://diaodiaode.me/rss/feed/0,['[电视剧]新豪门恩怨Dynasty'],['Dynasty.2017.S01E07.HDTV.x264-SVA.mkv'],['ed2k://|file|Dynasty.2017.S01E07.HDTV.x264-SVA.mkv|326053368|546C49D22629BF8026A6D2E1354BAF70|h=TOTJBWN4CGLVQSHNYTRNZX2TI5L3TT6W|/'],['magnet:?xt=urn:btih:c09a358a50f1005e749c87c6314d25fd2ccc9bbf&dn=Dynasty.2017.S01E07.HDTV.x264-SVA%5Brartv%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710'],[],
http://diaodiaode.me/rss/feed/0,['[电视剧]新豪门恩怨Dynasty'],['Dynasty.2017.S01E07.720p.HDTV.x264-AVS.mkv'],['ed2k://|file|Dynasty.2017.S01E07.720p.HDTV.x264-AVS.mkv|1129575546|35B8128AD156F51CDEDC1C19BD0A9F1F|h=JCNJOXR26JLWKOTZI2A7OZZQ7PA6JCXF|/'],['magnet:?xt=urn:btih:ec306199eecb4381f45c80670c0dcb49d7783ef1&dn=Dynasty.2017.S01E07.720p.HDTV.x264-AVS%5Brartv%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710'],[],
http://diaodiaode.me/rss/feed/0,['[电视剧]安迪·麦克Andi Mack'],['andi.mack.s02e05.hdtv.x264-w4f.mkv'],['ed2k://|file|andi.mack.s02e05.hdtv.x264-w4f.mkv|169471771|0DC5C4BB23373542251D9E86185799AD|h=CELVUCPHIS5TX6VDHA6XZ4KT4CWO4PZO|/'],['magnet:?xt=urn:btih:ee6c713e77aa45867fd544e2e01248459c63f1cb&dn=Andi.Mack.S02E05.HDTV.x264-W4F%5Brartv%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710'],[],
http://diaodiaode.me/rss/feed/0,['[电视剧]安迪·麦克Andi Mack'],['andi.mack.s02e05.720p.hdtv.x264-w4f.mkv'],['ed2k://|file|andi.mack.s02e05.720p.hdtv.x264-w4f.mkv|569434864|DBB4FA90C82D11367061E017531398AC|h=OWMYOFIMZQCU5LLMXMAC2CQ4CMW5JWEK|/'],['magnet:?xt=urn:btih:153d0a777383c1bf48b8eb8d4cbc35ccb955b44d&dn=Andi.Mack.S02E05.720p.HDTV.x264-W4F%5Brartv%5D&tr=http%3A%2F%2Ftracker.trackerfix.com%3A80%2Fannounce&tr=udp%3A%2F%2F9.rarbg.me%3A2710&tr=udp%3A%2F%2F9.rarbg.to%3A2710'],[],
http://diaodiaode.me/rss/feed/0,['[电视剧]迷眼Shut Eye'],['迷眼.Shut.Eye.S01E08.720p.WEBrip.x264.双语字幕-深影字幕组.mp4（密码：5oc7）'],['ed2k://|file|迷眼.Shut.Eye.S01E08.720p.WEB.H264-双语字幕精校版.深影字幕组.mp4|564261079|c490ab5fd11dcfce300e51bbe344597b|h=pebkfgyq4sxsirknjwruoitlpgyywnin|/'],['magnet:?xt=urn:btih:74e4ced520b1d0b2ae473ba75159f9adfcb884e3&tr=udp://9.rarbg.to:2710/announce&tr=udp://9.rarbg.me:2710/announce&tr=http://tr.cili001.com:8070/announce&tr=http://tracker.trackerfix.com:80/announce&tr=udp://open.demonii.com:1337&tr=udp://tracker.opentrackr.org:1337/announce&tr=udp://p4p.arenabg.com:1337&tr=wss://tracker.openwebtorrent.com&tr=wss://tracker.btorrent.xyz&tr=wss://tracker.fastcast.nz'],['http://pan.baidu.com/s/1cIL7em'],
